"Data Source","World Development Indicators",

"Last Updated Date","2018-06-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1069832402.23464","1120670391.06145","1195530726.25698","1264245810.05587","1326256983.24022","1377363128.49162","1393586592.17877","1353553072.6257","1260441340.78212","1275569832.40223","1450173184.35754","1597854748.60335","1585854748.60335","1729374301.67598","1849972067.03911","1593977653.63129","1517698324.02235","1829078212.2905","","","","","","",
"Afghanistan","AFG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","22222233.3333333","24444455.5555556","26666680","68888922.2222222","71111144.4444444","113333340","120000000","113333340","122222228.888889","142222222.222222","171111104.444444","199999988.888889","235555544.444444","224444437.777778","302222222.222222","300000006.666667","337777777.777778","344444451.111111","357777771.111111","","","","","","","","","","","","","","","","","","","","","","","","1337189554.99655","1996491933.09847","1796873038.32537","1719072441.19555","1868166952.79744","1754538352.37252","1833579462.549","1836528323.26054","1597480950.74859","1095048849.84066","1132970324.61803","1278247870.47537","1354003892.20305","1345496130.14481","1342632358.42288","",
"Angola","AGO","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","3344481605.35117","3344481605.35117","3344481605.35117","3344481605.35117","3344481605.35117","3344481605.35117","","","","","","","","","","8187989014.49131","6736804052.06298","8534557617.47017","9708751137.63851","13797757758.4288","24286253529.4651","33346439694.3563","44706926828.5052","64243350294.6688","41451123307.9788","51451738031.4823","68042503949.548","71873245485.3982","69562207374.1456","60851240661.4691","34325137201.4323","28617403758.8463","37182842140.411",
"Albania","ALB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","335069933.049631","319090900.273501","327312512.5","333550012.5","348287487.5","418924987.5","312500000","82300000","81519209.6758072","189399541.45744","225407481.032684","302465325.386337","371128296.087327","229987998.636673","293568702.037576","540103549.601738","648940336.647964","748461645.551998","869225487.835973","1169843189.95303","1608022160.18997","1862113160.76952","2242225040.11074","3005295931.89712","3259292016.41107","3040048179.5277","3337098456.3637","3769483126.0221","3565036058.73664","3694433640.23594","3732081775.36424","3104918355.55189","3437166961.09018","4110270638.80094",
"Andorra","AND","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162106034108.314","185091932727.913","213898225416.042","220617108292.938","171928991909.19","207657685054.523","290412733923.643","267681894636.054","278769995167.167","348492742600.018","463152817860.239","626175774748.493","764091804864.996","889508297933.354","1188142847336.07","833074539236.615","1029753222933.65","1363180157315.7","1539691106205.21","1524248292830.47","1444543014187.32","1061496886639.75","980783606599.484","1094535894704.03",
"United Arab Emirates","ARE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50787202178.3526","54362695711.3683","69538461538.4615","93968686181.0755","122070796460.177","152433764465.623","186690265486.726","248808168822.328","201958883594.282","225274880871.341","314834309053.778","375797957794.418","392571272974.813","399569503063.308","361252552756.978","360626276378.489","384043567052.417",
"Argentina","ARG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","1000000015","2000000030","3600000143","4499999881","2824999988","4695000171.65","5459999847.42","5000000000","4508960682.86022","3895791460.8517","5445263029.4","7663966049.38272","9515669515.66952","6003000000","10376666666.6667","9054444444.44444","8747619047.61905","12029545454.5455","10007559532.1573","14643450362.3688","14561091033.0362","15095901877.6499","16357317617.6176","19385000000","24978750000","28381250000","30928250000","31137000000","27862250000","31223750000","31112750000","27736666041.3931","33084461867.4269","39266996605.7973","46198180131.0044","53550250227.3909","65162321195.025","79762958392.3012","65133480388.4946","80208867995.7171","97810932629.3764","88655850853.7721","80690471898.442","75818867911.0825","63671789068.8987","69822771313.5748","71274718055.5556",
"Armenia","ARM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","789960888.143741","843376623.376623","506852687.730817","567247614.979354","517226116.723004","351337842.681959","371135627.717129","332378728.088055","359865223.191279","383089986.169775","446833331.479855","539539689.402947","697610011.33688","902544361.317967","1063500421.78274","1411787184.64522","1491343148.40578","1766288264.90715","1754799336.14276","1338222263.45114","1928926124.11534","2409446527.51175","2927398422.95477","3153950545.58344","3316273473.87645","3137295851.61313","3495833404.44157","4390130934.02254",
"American Samoa","ASM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518000000","513000000","460000000","498000000","495000000","505000000","641000000","530000000","364000000","335000000","482000000","457000000","426000000","427000000","428000000","",
